(فَا. مِنْ أَخْجَلَ)	مُخْجِلٌ-مُخْجِلٌ، ةٌ 	
(فا. من أَخَّرَ)	مُؤَخِّرٌ-مُؤَخِّرٌ، ةٌ 	
(فَا. مِنْ أَخْرَجَ)	مُخْرِجٌ-مُخْرِجٌ، ةٌ 	
(فَا. مِنْ أَخْطَأَ)	مُخْطِئٌ-مُخْطِئٌ، ةٌ 	
(فَا. مِنْ أَخْفَقَ)	مُخْفِقٌ-مُخْفِقٌ، ة 	
(فَا. مِنْ أَخَلَّ)	مُخِلٌّ-مُخِلٌّ، ة 	
(فَا. مِنْ أَخْلَصَ)	مُخْلِصٌ-مُخْلِصٌ، ةٌ 	
(فا. من أَدَانَ)	مُدِينٌ-مُدِينٌ، ةٌ 	
(فَا. مِنْ أَدَّبَ)	مُؤَدِّبٌ-مُؤَدِّبٌ، ةٌ 	
(فَا. مِنْ أَدْبَرَ)	مُدْبِرٌ-مُدْبِرٌ، ةٌ 	
(فَا. مِنْ أَدْرَكَ)	مُدْرِكٌ-مُدْرِكٌ، ةٌ 	
(فَا. مِنْ أَدْقَعَ)	مُدْقِعٌ-مُدْقِعٌ، ة 	
(فَا. مِنْ أَدْمَنَ)	مُدْمِنٌ-مُدْمِنٌ، ةٌ 	
(فَا. مِنْ أَدْهَشَ)	مُدْهِشٌ-مُدْهِشٌ، ةٌ 	
(فا. من أَدَّى)	مُؤَدِّي-مُؤَدِّي، مُؤَدٍّ، ةُ 	
(فَا. مِنْ أَذَاعَ)	مُذِيعٌ-مُذِيعٌ، ةٌ 	
(فَا. مِنْ أَذْعَنَ)	مُذْعِنٌ-مُذْعِنٌ، ةٌ 	
(فَا. مِنْ أَذَمَّ)	مُذِمٌّ-مُذِمٌّ، ة 	
(فا. من أَذَّنَ)	مُؤَذِّنٌ-مُؤَذِّنٌ، ة 	
(فَا. مِنْ أَذْنَبَ)	مُذْنِبٌ-مُذْنِبٌ، ةٌ 	
(فا. من أَذْهَلَ)	مُذْهِلٌ-مُذْهِلٌ، ةٌ 	
(فَا. مِنْ أذي)	مُؤْذِي-مُؤْذِي، مُؤْذٍ، ةٌ 	
(فا. من أرَّخَ)	مُؤَرِّخٌ-مُؤَرِّخٌ، ةٌ 	
(فا. من أَرْسَلَ)	مُرْسِلٌ-مُرْسِلٌ، ةٌ 	
(فَا. مِنْ أَرْشَدَ)	مُرْشِدٌ-مُرْشِدٌ، ةٌ 	
(فَا. مِنْ أَرْضَعَ)	مُرْضِعٌ-مُرْضِعٌ، ةٌ 	
(فَا. مِنْ أَرْعَبَ)	مُرْعِبٌ-مُرْعِبٌ، ةٌ 	
(فَا. مِنْ أَرَنَّ)	مُرِنٌّ-مُرِنٌّ، ةٌ 	
(فَا. مِنْ أَرْهَبَ)	مُرْهِبٌ-مُرْهِبٌ، ةٌ 	
(فَا. مِنْ أَرْهَقَ)	مُرْهِقٌ-مُرْهِقٌ، ةٌ 	
(فَا. مِنْ أَزْأَرَ)	مُزْئِرٌ-مُزْئِرٌ، ة 	
(فَا. مِنْ أَزْبَدَ)	مُزْبِدٌ-مُزْبِدٌ، ة 	
(فَا. مِنْ أَزْعَجَ)	مُزْعِجٌ-مُزْعِجٌ، ةٌ 	
(فَا. مِنْ أَزْمَنَ)	مُزْمِنٌ-مُزْمِنٌ، ةٌ 	
(فَا. مِنْ أَزْهَرَ)	مُزْهِرٌ-مُزْهِرٌ، ةٌ 	
(فَا. مِنْ أَسْبَتَ)	مُسْبِتٌ-مُسْبِتٌ، ةٌ 	
(فَا. مِن أَسْدَلَ)	مُسْدِلٌ-مُسْدِلٌ، ةٌ 	
(فَا. مِن أَسْرَعَ)	مُسْرِعٌ-مُسْرِعٌ، ةٌ 	
(فَا. مِن أَسْرَفَ)	مُسْرِفٌ-مُسْرِفٌ، ةٌ 	
(فا. من أَسَّسَ)	مُؤَسِّسٌ-مُؤَسِّسٌ، ةٌ 	
(فَا. مِن أَسْعَفَ)	مُسْعِفٌ-مُسْعِفٌ، ةٌ 	
(فَا. مِنْ أسِفَ)	آسِفٌ-آسِفٌ، ة 	
(فَا. مِن أَسْكَرَ)	مُسْكِرٌ-مُسْكِرٌ، ةٌ 	
(فَا. مِن أَسْلَمَ)	مُسْلِمٌ-مُسْلِمٌ، ةٌ 	
(فَا. مِن أسَنَ)	آسِنٌ-آسِنٌ، ة 	
(فَا. مِن أَسَنَّ)	مُسِنٌّ-مُسِنٌّ، ة 	
(فَا. مِن أَسْهَبَ)	مُسْهِبٌ-مُسْهِبٌ، ةٌ 	
(فَا. مِن أسْهَمَ)	مُسْهِمٌ-مُسْهِمٌ، ةٌ 	
(فَا. مِن أَشَادَ)	مُشِيدٌ-مُشِيدٌ، ةٌ 	
(فَا. مِن أَشَارَ)	مُشِيرٌ-مُشِيرٌ، ةٌ 	
(فَا. مِن أَشْتَى)	مُشْتِي-مُشْتِي، مُشْتٍ، ة 	
(فَا. مِن أَشَجَرَ)	مُشْجِرٌ-مُشْجِرٌ، ةٌ 	
(فَا. مِنْ أَشَّرَ)	مُؤَشِّرٌ-مُؤَشِّرٌ، ة 	
(فَا. مِن أَشْرَفَ)	مُشْرِفٌ-مُشْرِفٌ، ةٌ 	
(فَا. مِن أَشْرَقَ)	مُشْرِقٌ-مُشْرِقٌ، ةٌ 	
(فَا. مِن أَشَعَّ)	مُشِعٌّ-مُشِعٌّ، ةٌ 	
(فَا. مِن أَشْعَلَ)	مُشْعِلٌ-مُشْعِلٌ، ةٌ 	
(فَا. مِن أَشْفَقَ)	مُشْفِقٌ-مُشْفِقٌ، ةٌ 	
