(مفع. مِن اِرْتَهَنَ)	مُرْتَهَنٌ-مُرْتَهَنٌ، ةٌ 
(مفع. من اِنْتَصَفَ)	مُنْتَصَفٌ-مُنْتَصَفٌ ، ةٌ 
(مفع. من اِنْتَقَدَ)	مُنْتَقَدٌ-مُنْتَقَدٌ، ةٌ 
(مفع. من اِنْتَقَى)	مُنْتَقىً-مُنْتَقىً
(مفع. من اِنْتَهَكَ)	مُنْتَهَكٌ-مُنْتَهَكٌ، ةٌ 
(مفع. من اِنْتَهَى)	مُنْتَهىً-مُنْتَهىً
(مفع. مِن اِنْحَدَرَ)	مُنْحَدَرٌ-مُنْحَدَرٌ ، ةٌ 
(مفع. من اِنْسَلَخَ)	مُنْسَلَخٌ-مُنْسَلَخٌ ، ةٌ 
(مفع. من اِنْصَرَفَ)	مُنْصَرَفٌ-مُنْصَرَفٌ ، ةٌ 
(مفع. من اِنْضَمَّ)	مُنْضَمٌّ-مُنْضَمٌّ، ةٌ 
(مفع. مِن اِنْطَلَقَ)	مُنْطَلَقٌ-مُنْطَلَقٌ ، ةٌ 
(مفع. مِن اِنْعَرَجَ)	مُنْعَرَجٌ-مُنْعَرَجٌ ، ةٌ 
(مفع. مِن اِنْعَكَسَ)	مُنْعَكَسٌ-مُنْعَكَسٌ، ةٌ 
(مفع. من اِنْقَلَبَ)	مُنْقَلَبٌ-مُنْقَلَبٌ، ةٌ 
(مفع. مِنْ بَاعَ)	مَبِيعٌ-مَبِيعٌ ، ةٌ 
(مفع. مِنْ بَتَرَ)	مَبْتُورٌ-مَبْتُورٌ، ةٌ 
(مفع. مِنْ بَثَرَ)	مَبْثُورٌ-مَبْثُورٌ ، ةٌ 
(مفع. من بجل)	مبجلٌّ-مبجلٌّ، ة
(مفع. مِنْ بَحَّ)	مَبْحُوحٌ-مَبْحُوحٌ، ةٌ 
(مفع. من بخر)	متبخرٌ-متبخرٌ، ة
(مفع. من برد)	مبرَّد-مبرَّد، ة
(مفع. من بَرَّدَ)	مُبَرَّدٌ-مُبَرَّدٌ ، ة
(مفع. مِنْ بَرَّرَ)	مُبَرَّرٌ-مُبَرَّرٌ، ةٌ 
(مفع. مِنْ بَرَّزَ)	مُبَرَّزٌ-مُبَرَّزٌ، ة 
(مفع. من برعم)	مبرعمٌ-مبرعمٌ، ة
(مفع. من برقش)	مُبَرْقَشٌ-مُبَرْقَشٌ ، ة
(مفع. مِنْ بَرَمَ)	مَبْرُومٌ-مَبْرُومٌ، ةٌ 
(مفع. مِنْ بَرَّمَ)	مُبرَمٌ-مُبرَمٌ، ة
(مفع. مِنْ بَرْمَجَ)	مُبَرْمَجٌ-مُبَرْمَجٌ ، ة 
(مفع. مِنْ بَرْهَنَ)	مُبَرْهَنٌ-مُبَرْهَنٌ ، ة 
(مفع. مِنْ بَرَى)	مَبْرِيٌّ-مَبْرِيٌّ، ةٌ 
(مفع. مِنْ بَسَطَ)	مَبْسُوطٌ-مَبْسُوطٌ، ةٌ 
(مفع. مِنْ بَسَّطَ)	مُبَسَّطٌ-مُبَسَّطٌ، ةٌ 
(مفع. مِنْ بَشَرَ)	مَبْشُورٌ-مَبْشُورٌ، ةٌ 
(مفع. مِنْ بَطَّنَ)	مُبَطَّنٌ-مُبَطَّنٌ، ةٌ 
(مفع. مِنْ بَعَثَ)	مَبْعُوثٌ-مَبْعُوثٌ، ةٌ 
(مفع. مِنْ بَعْثَرَ)	مُبَعْثَرٌ-مُبَعْثَرٌ، ةٌ 
(مفع. مِنْ بَغَى)	مَبْغىً-مَبْغىً
(مفع. مِنْ بَلَّطَ)	مُبَلَّطٌ-مُبَلَّطٌ، ةٌ 
(مفع. مِنْ بَلَّغَ)	مُبَلَّغٌ-مُبَلَّغٌ ، ة 
(مفع. مِنْ بَلَّلَ)	مُبَلَّلٌ-مُبَلَّلٌ، ةٌ 
(مفع. مِنْ بَنَّجَ)	مُبَنَّجٌ-مُبَنَّجٌ، ةٌ 
(مفع. مِنْ بَنَى)	مَبْنِيٌّ-مَبْنِيٌّ، ةٌ 
(مفع. مِنْ بَهَرَ)	مَبْهُورٌ-مَبْهُورٌ ، ة 
(مفع. مِنْ بَيَّنَ)	مُبَيَّنٌ-مُبَيَّنٌ ، ة 
(مفع. مِنْ تَابَعَ)	مُتَابَعٌ-مُتَابَعٌ، ةٌ 
(مفع. مِنْ تَبَادَلَ)	مُتَبَادَلٌ-مُتَبَادَلٌ، ةٌ 
(مفع. من تبرعم)	متبرعمٌ-متبرعمٌ، ة
(مفع. مِنْ تَبَّلَ)	مُتَبَّلٌ-مُتَبَّلٌ ، ة 
(مفع. مِنْ تَبَنَّى)	مُتَبَنّىً-مُتَبَنّىً
(مفع. مِنْ تَجَاوَزَ)	مُتَجَاوَزٌ-مُتَجَاوَزٌ، ةٌ 
(مفع. مِنْ تَدَاوَلَ)	مُتَدَاوَلٌ-مُتَدَاوَلٌ، ةٌ 
(مفع. مِنْ تَرَكَ)	مَتْرُوكٌ-مَتْرُوكٌ، ةٌ 
(مفع. مِنْ تَعَارَفَ)	مُتَعَارَفٌ-مُتَعَارَفٌ، ةٌ 
(مفع. مِنْ تَعَبَّدَ)	مُتَعَبَّدٌ-مُتَعَبَّدٌ ، ة
(مفع. مِنْ تَعِسَ)	مَتْعُوسٌ-مَتْعُوسٌ، ةٌ 
(مفع. مِنْ تَكَلَّمَ)	مُتَكَلَّمٌ-مُتَكَلَّمٌ  ، ة
(مفع. مِنْ تَنَاوَلَ)	مُتَنَاوَلٌ-مُتَنَاوَلٌ، ةٌ 
(مفع. مِنْ تَنَزَّهَ)	مُتَنَزَّهٌ-مُتَنَزَّهٌ ، ة 
(مفع. مِنْ تَنَصَّحَ)	مُتَنَصَّحٌ-مُتَنَصَّحٌ  ، ة
(مفع. مِنْ تَنَفَّسَ)	مُتَنَفَّسٌ-مُتَنَفَّسٌ  ، ة
(مفع. مِنْ تَوَفَّى)	مُتَوَفّىً-مُتَوَفّىً
(مفع. مِنْ تَوَقَّعَ)	مُتَوَقَّعٌ-مُتَوَقَّعٌ  ، ة
(مفع. مِنْ تَيَّمَ)	مُتَيَّمٌ-مُتَيَّمٌ، ةٌ 
(مفع. مِنْ ثَبَّتَ)	مُثَبَّتٌ-مُثَبَّتٌ، ةٌ 
(مفع. من ثَردَ)	مَثْرودٌ-مَثْرودٌ  ، ة
(مفع. مِنْ ثَقَّفَ)	مُثَقَّفٌ-مُثَقَّفٌ، ةٌ 
(مفع. مِنْ ثَلَّثَ)	مُثَلَّثٌ-مُثَلَّثٌ، ةٌ 
(مفع. مِنْ ثَلَّجَ)	مُثَلَّجٌ-مُثَلَّجٌ، ةٌ 
(مفع. مِنْ ثَمَّنَ)	مُثَمَّنٌ-مُثَمَّنٌ  ، ة
(مفع. مِنْ ثَنَى)	مُثَنًّى-مُثَنًّى
(مفع. مِنْ جَبَرَ)	مَجْبُورٌ-مَجْبُورٌ  ، ة
(مفع. مِنْ جَبَّرَ)	مُجَبَّرٌ-مُجَبَّرٌ  ، ة
(مفع. مِنْ جَبَلَ)	مَجْبُولٌ-مَجْبُولٌ  ، ة
(مفع. مِنْ جَدَّدَ)	مُجَدَّدُ-مُجَدَّدُ، ةٌ 
(مفع. مِنْ جَدُرَ)	مَجْدُورٌ-مَجْدُورٌ، ةٌ 
(مفع. مِنْ جَدَّرَ)	مُجَدَّرٌ-مُجَدَّرٌ، ةٌ 
(مفع. مِنْ جَدَلَ)	مَجْدُولٌ-مَجْدُولٌ، ةٌ 
(مفع. مِنْ جَذَبَ)	مَجْذُوبٌ-مَجْذُوبٌ، ةٌ 
(مفع. مِنْ جَذَرَ)	مَجْذُورٌ-مَجْذُورٌ  ، ة
(مفع. مِنْ جَذَمَ)	مَجْذُومٌ-مَجْذُومٌ، ةٌ 
(مفع. مِنْ جَرَّ)	مَجْرُورٌ-مَجْرُورٌ  ، ة
(مفع. مِنْ جَرَّبَ)	مُجَرَّبٌ-مُجَرَّبٌ، ةٌ 
(مفع. مِنْ جَرَحَ)	مَجْرُوحٌ-مَجْرُوحٌ، ةٌ 
(مفع. مِنْ جَرَّدَ)	مُجَرَّدٌ-مُجَرَّدٌ، ةٌ 
(مفع. مِنْ جَزَّأَ)	مُجَزَّأٌ-مُجَزَّأٌ
(مفع. مِنْ جَسَّدَ)	مُجَسَّدٌ-مُجَسَّدٌ، ةٌ 
(مفع. مِنْ جَسَّمَ)	مُجَسَّمٌ-مُجَسَّمٌ، ةٌ 
(مفع. مِنْ جَعَّدَ)	مُجَعَّدٌ-مُجَعَّدٌ، ةٌ 
(مفع. مِنْ جَفَّفَ)	مُجَفَّفٌ-مُجَفَّفٌ، ةٌ 
(مفع. مِنْ جَلْجَلَ)	مُجَلْجَلٌ-مُجَلْجَلٌ، ةٌ 
(مفع. مِنْ جَلَّدَ)	مُجَلَّدٌ-مُجَلَّدٌ  ، ة
(مفع. مِنْ جَمَّدَ)	مُجَمَّدٌ-مُجَمَّدٌ، ةٌ 
(مفع. مِنْ جَمَّرَ)	مُجَمَّرٌ-مُجَمَّرٌ  ، ة
(مفع. مِنْ جَمَّعَ)	مُجَمَّعٌ-مُجَمَّعٌ  ، ة
(مفع. مِنْ جَنَّحَ)	مُجَنَّحٌ-مُجَنَّحٌ، ةٌ 
(مفع. مِنْ جَنَى)	مَجْنِيٌّ-مَجْنِيٌّ، ةٌ 
(مفع. مِنْ جَهَدَ)	مَجْهُودٌ-مَجْهُودٌ  ، ة
(مفع. مِنْ جَهَّزَ)	مُجَهَّزٌ-مُجَهَّزٌ، ةٌ 
(مفع. مِنْ جَهِلَ)	مَجْهُولٌ-مَجْهُولٌ، ةٌ 
(مفع. مِنْ جَوَّفَ)	مُجَوَّفٌ-مُجَوَّفٌ، ةٌ 
(مفع. مِنْ جَيَّرَ)	مُجَيَّرٌ-مُجَيَّرٌ، ةٌ 
(مفع. مِنْ حَاصَرَ)	مُحَاصَرٌ-مُحَاصَرٌ، ةٌ 
(مفع. مِنْ حَبَّ)	مَحْبُوبٌ-مَحْبُوبٌ، ةٌ 
(مفع. مِنْ حَبَّبَ)	مُحَبَّبٌ-مُحَبَّبٌ، ةٌ 
(مفع. مِن حَبَّرَ)	مُحَبَّرٌ-مُحَبَّرٌ، ةٌ 
(مفع. مِنْ حَبَسَ)	مَحْبُوسٌ-مَحْبُوسٌ، ةٌ 
(مفع. مِنْ حَبَكَ)	مَحْبُوكٌ-مَحْبُوكٌ، ةٌ 
(مفع. مِنْ حَتَمَ)	مَحْتُومٌ-مَحْتُومٌ  ، ة
(مفع. مِنْ حَجَبَ)	مَحْجُوبٌ-مَحْجُوبٌ، ةٌ 
(مفع. مِنْ حَجَّبَ)	مُحَجَّبٌ-مُحَجَّبٌ، ةٌ 
(مفع. مِنْ حَجَرَ)	مَحْجُورٌ-مَحْجُورٌ، ةٌ 
(مفع. مِنْ حَجَزَ)	مَحْجُوزٌ-مَحْجُوزٌ، ةٌ 
(مفع. مِن حَجَّلَ)	مُحَجَّلٌ-مُحَجَّلٌ  ، ة
(مفع. مِنْ حَدَّ)	مَحْدُودٌ-مَحْدُودٌ، ةٌ 
(مفع. مِنْ حَدَّبَ)	مُحَدَّبٌ-مُحَدَّبٌ، ةٌ 
(مفع. مِنْ حَدَّدَ)	مُحَدَّدٌ-مُحَدَّدٌ، ةٌ 
(مفع. مِنْ حَذَفَ)	مَحْذُوفٌ-مَحْذُوفٌ، ةٌ 
(مفع. مِنْ حَرَّ)	مَحْرُورٌ-مَحْرُورٌ، ةٌ 
(مفع. مِنْ حَرَّرَ)	مُحَرَّرٌ-مُحَرَّرٌ، ةٌ 
(مفع. مِنْ حَرَسَ)	مَحْرُوسٌ-مَحْرُوسٌ، ةٌ 
(مفع. مِنْ حَرَقَ)	مَحْرُوقٌ-مَحْرُوقٌ، ةٌ 
(مفع. مِنْ حَرَمَ)	مَحْرُومٌ-مَحْرُومٌ، ةٌ 
(مفع. مِنْ حَرَّمَ)	مُحَرَّمٌ-مُحَرَّمٌ  ، ة
(مفع. مِنْ حَزَنَ)	مَحْزُونٌ-مَحْزُونٌ، ةٌ 
(مفع. مِنْ حَسَّ)	مَحْسُوسٌ-مَحْسُوسٌ، ةٌ 
(مفع. مِنْ حَسَبَ)	مَحْسُوبٌ-مَحْسُوبٌ، ةٌ 
(مفع. مِنْ حَسَدَ)	مَحْسُودٌ-مَحْسُودٌ، ةٌ 
(مفع. مِنْ حَسَمَ)	مَحْسُومٌ-مَحْسُومٌ، ةٌ 
(مفع. مِنْ حَشَّى)	مُحَشّىً-مُحَشّىً
(مفع. مِنْ حَصَرَ)	مَحْصُورٌ-مَحْصُورٌ، ةٌ 
(مفع. مِنْ حَصَلَ)	مَحْصُولٌ-مَحْصُولٌ  ، ة
(مفع. مِنْ حَصَّنَ)	مُحَصَّنٌ-مُحَصَّنٌ، ةٌ 
(مفع. مِنْ حَطَّمَ)	مُحَطَّمٌ-مُحَطَّمٌ، ةٌ 
(مفع. مِنْ حَظَّ)	مَحْظُوظٌ-مَحْظُوظٌ، ةٌ 
(مفع. مِنْ حَظَرَ)	مَحْظُورٌ-مَحْظُورٌ  ، ة
(مفع. مِنْ حَفَّ)	مَحْفُوفٌ-مَحْفُوفٌ، ةٌ 
(مفع. مِنْ حَفَرَ)	مَحْفُورٌ-مَحْفُورٌ ، ة
(مفع. مِنْ حَفِظَ)	مَحْفُوظٌ-مَحْفُوظٌ، ةٌ 
(مفع. مِنْ حَقَّقَ)	مُحَقَّقٌ-مُحَقَّقٌ، ةٌ 
(مفع. مِنْ حَكَمَ)	مَحْكُومٌ-مَحْكُومٌ، ةٌ 
(مفع. مِنْ حَكَّمَ)	مُحَكَّمٌ-مُحَكَّمٌ، ةٌ 
(مفع. مِنْ حَلَّ)	مَحْلُولٌ-مَحْلُولٌ، ةٌ 
(مفع. مِنْ حَلَجَ)	مَحْلُوجٌ-مَحْلُوجٌ  ، ة
(مفع. مِنْ حَلَّفَ)	مُحَلَّفٌ-مُحَلَّفٌ، ةٌ 
(مفع. مِنْ حَمَّ)	مَحْمُومٌ-مَحْمُومٌ  ، ة
(مفع. مِنْ حَمِدَ)	مَحْمُودٌ-مَحْمُودٌ، ةٌ 
(مفع. مِنْ حَمَّدَ)	مُحَمَّدٌ-مُحَمَّدٌ
(مفع. مِنْ حَمَلَ)	مَحْمُولٌ-مَحْمُولٌ  ، ة
(مفع. مِنْ حَمَى)	مَحْمِيٌّ-مَحْمِيٌّ، ةٌ 
(مفع. مِنْ حَنَّكَ)	مُحَنَّكٌ-مُحَنَّكٌ  ، ة
(مفع. مِنْ حَيَّرَ)	مُحَيَّرٌ-مُحَيَّرٌ، ةٌ 
(مفع. مِنْ خَاطَبَ)	مُخَاطَبٌ-مُخَاطَبٌ، ةٌ 
(مفع. مِنْ خَافَ)	مَخُوفٌ-مَخُوفٌ  ، ة
(مفع. مِنْ خَبَّأَ)	مَخْبُوءٌ-مَخْبُوءٌ 
(مفع. مِنْ خَبَلَ)	مَخْبُولٌ-مَخْبُولٌ، ةٌ 
(مفع. مِنْ خَتَمَ)	مَخْتُومٌ-مَخْتُومٌ، ةٌ 
(مفع. مِنْ خَتَنَ)	مَخْتُونٌ-مَخْتُونٌ  ، ة
(مفع. مِنْ خَدَّرَ)	مُخَدَّرٌ-مُخَدَّرٌ، ةٌ 
(مفع. مِنْ خَدَعَ)	مَخْدُوعٌ-مَخْدُوعٌ، ةٌ 
(مفع. مِنْ خَدَمَ)	مَخْدُومٌ-مَخْدُومٌ، ةٌ 
(مفع. مِنْ خَذَلَ)	مَخْذُولٌ-مَخْذُولٌ، ةٌ 
(مفع. مِنْ خَرَّبَ)	مُخَرَّبٌ-مُخَرَّبٌ، ةٌ 
(مفع. مِنْ خَرَطَ)	مَخْرُوطٌ-مَخْرُوطٌ  ، ة
(مفع. مِنْ خَرَقَ)	مَخْرُوقٌ-مَخْرُوقٌ، ةٌ 
(مفع. مِنْ خَزَنَ)	مَخْزُونٌ-مَخْزُونٌ، ةٌ 
(مفع. مِنْ خَصَّ)	مَخْصُوصٌ-مَخْصُوصٌ، ةٌ 
(مفع. مِنْ خَصَرَ)	مَخْصُورٌ-مَخْصُورٌ ، ة 
(مفع. مِنْ خَصَّصَ)	مُخَصَّصٌ-مُخَصَّصٌ، ةٌ 
(مفع. مِنْ خَضَّبَ)	مُخَضَّبٌ-مُخَضَّبٌ، ةٌ 
(مفع. مِنْ خَضْرَمَ)	مُخَضْرَمٌ-مُخَضْرَمٌ، ةٌ 
(مفع. مِنْ خَطَبَ)	مَخْطُوبٌ-مَخْطُوبٌ، ةٌ 
(مفع. مِنْ خَطَّطَ)	مُخَطَّطٌ-مُخَطَّطٌ، ةٌ 
(مفع. مِنْ خَطَفَ)	مَخْطُوفٌ-مَخْطُوفٌ، ة
(مفع. مِنْ خَفَرَ)	مَخْفُورٌ-مَخْفُورٌ، ةٌ 
(مفع. مِنْ خَفَّضَ)	مُخَفَّضٌ-مُخَفَّضٌ، ة 
(مفع. مِنْ خَفَّفَ)	مُخَفَّفٌ-مُخَفَّفٌ، ةٌ 
(مفع. مِنْ خَلَّدَ)	مُخَلَّدٌ-مُخَلَّدٌ، ةٌ 
(مفع. من خَلَطَ)	مَخْلُوطٌ-مَخْلُوطٌ، ةٌ 
(مفع. مِنْ خَلَعَ)	مَخْلُوعٌ-مَخْلُوعٌ، ةٌ 
(مفع. مِنْ خَلَّفَ)	مُخَلَّفٌ-مُخَلَّفٌ، ةٌ 
(مفع. مِنْ خَلَقَ)	مَخْلُوقٌ-مَخْلُوقٌ، ة 
(مفع. مِنْ خَلَّلَ)	مُخَلَّلٌ-مُخَلَّلٌ، ة 
(مفع. مِنْ خَمَرَ)	مَخْمُورٌ-مَخْمُورٌ، ةٌ 
(مفع. مِنْ خَمَّسَ)	مُخَمَّسٌ-مُخَمَّسٌ ، ة
(مفع. مِنْ خَنَقَ)	مَخْنُوقٌ-مَخْنُوقٌ ، ةٌ 
(مفع. مِنْ دَانَ)	مَدْيُونٌ-مَدْيُونٌ، ة 
(مفع. مِنْ دَبَّجَ)	مُدَبَّجٌ-مُدَبَّجٌ، ةٌ 
(مفع. من دَبَّرَ)	مُدَبَّرٌ-مُدَبَّرٌ، ةٌ 
(مفع. مِنْ دَبَغَ)	مَدْبُوغٌ-مَدْبُوغٌ، ةٌ 
(مفع. مِنْ دَجَّجَ)	مُدَجَّجٌ-مُدَجَّجٌ، ةٌ 
(مفع. مِنْ دَخَلَ)	مَدْخُولٌ-مَدْخُولٌ، ة 
(مفع. مِنْ دَرَّبَ)	مُدَرَّبٌ-مُدَرَّبٌ، ة 
(مفع. مِنْ دَرَسَ)	مَدْرُوسٌ-مَدْرُوسٌ، ةٌ 
(مفع. مِنْ دَسَّ)	مَدْسُوسٌ-مَدْسُوسٌ، ةٌ 
(مفع. مِنْ دَفَعَ)	مَدْفُوعٌ-مَدْفُوعٌ ، ة
(مفع. مِنْ دَفَنَ)	مَدْفُونٌ-مَدْفُونٌ، ةٌ 
(مفع. من دَقَّقَ)	مُدَقَّقٌ-مُدَقَّقٌ، ةٌ 
(مفع. مِنْ دَلَّ)	مَدْلُولٌ-مَدْلُولٌ ، ة
(مفع. مِنْ دَلَّعَ)	مُدَلَّعٌ-مُدَلَّعٌ، ةٌ 
(مفع. مِنْ دَلَّلَ)	مُدَلَّلٌ-مُدَلَّلٌ، ةٌ 
(مفع. مِنْ دَلَّهَ)	مُدَلَّهٌ-مُدَلَّهٌ، ةٌ 
(مفع. مِنْ دَمَّرَ)	مُدَمَّرٌ-مُدَمَّرٌ، ةٌ 
(مفع. مِنْ دَمَّسَ)	مُدَمَّسٌ-مُدَمَّسٌ ، ة
(مفع. مِنْ دَمَّى)	مُدَمّىً-مُدَمّىً
(مفع. مِنْ دَنَّسَ)	مُدَنَّسٌ-مُدَنَّسٌ، ةٌ 
(مفع. مِنْ دَهِشَ)	مَدْهُوشٌ-مَدْهُوشٌ، ةٌ 
(مفع. مِنْ دَهَنَ)	مَدْهُونٌ-مَدْهُونٌ، ةٌ 
(مفع. مِنْ دَوَّدَ)	مُدَوَّدٌ-مُدَوَّدٌ، ةٌ 
(مفع. مِنْ دَوَّرَ)	مُدَوَّرٌ-مُدَوَّرٌ، ةٌ 
(مفع. مِنْ دَوَّنَ)	مُدَوَّنٌ-مُدَوَّنٌ، ةٌ 
(مفع. مِنْ ذَبَحَ)	مَذْبُوحٌ-مَذْبُوحٌ، ةٌ 
(مفع. مِنْ ذَبْذَبَ)	مُذَبْذَبٌ-مُذَبْذَبٌ، ةٌ 
(مفع. مِنْ ذَعَرَ)	مَذْعُورٌ-مَذْعُورٌ، ةٌ 
(مفع. مِنْ ذَكَرَ)	مَذْكُورٌ-مَذْكُورٌ، ةٌ 
(مفع. مِنْ ذَلَّقَ)	مُذَلَّقٌ-مُذَلَّقٌ ، ة
(مفع. مِنْ ذَلَّلَ)	مُذَلَّلٌ-مُذَلَّلٌ، ةٌ 
(مفع. مِنْ ذَمَّ)	مَذْمُومٌ-مَذْمُومٌ، ةٌ 
(مفع. مِنْ ذَمَّمَ)	مُذَمَّمٌ-مُذَمَّمٌ، ةٌ 
(مفع. مِنْ ذَنَّبَ)	مُذَنَّبٌ-مُذَنَّبٌ ، ة
(مفع. مِنْ ذَهَّبَ)	مُذَهَّبٌ-مُذَهَّبٌ، ةٌ 
(مفع. مِنْ ذَهِلَ)	مَذْهُولٌ-مَذْهُولٌ، ةٌ 
(مفع. مِنْ ذَيَّلَ)	مُذَيَّلٌ-مُذَيَّلٌ، ةٌ 
(مفع. من رَأَسَ)	مَرْؤُوسٌ-مَرْؤُوسٌ ، ة
(مفع. مِنْ رَاقَبَ)	مُرَاقَبٌ-مُرَاقَبٌ ، ة
(مفع. مِنْ رَتَّبَ)	مُرَتَّبٌ-مُرَتَّبٌ، ةٌ 
(مفع. مِنْ رَتَّلَ)	مُرَتَّلٌ-مُرَتَّلٌ، ةٌ 
(مفع. مِنْ رَجَّحَ)	مُرَجَّحٌ-مُرَجَّحٌ، ةٌ 
(مفع. من رَجَعَ)	مَرْجُوعٌ-مَرْجُوعٌ، ةٌ 
(مفع. مِنْ رَجَّلَ)	مُرَجَّلٌ-مُرَجَّلٌ ، ة
(مفع. مِنْ رَجَّمَ)	مُرَجَّمٌ-مُرَجَّمٌ ، ة
(مفع. مِن رَحِمَ)	مَرْحُومٌ-مَرْحُومٌ، ةٌ 
(مفع. مِنْ رَخَّصَ)	مُرَخَّصٌ-مُرَخَّصٌ، ةٌ 
(مفع. مِنْ رَدَّ)	مَرْدُودٌ-مَرْدُودٌ، ةٌ 
(مفع. مِنْ رَدَّدَ)	مُرَدَّدٌ-مُرَدَّدٌ، ةٌ 
(مفع. مِنْ رَدَمَ)	مَرْدُومٌ-مَرْدُومٌ، ةٌ 
(مفع. مِنْ رَذُلَ)	مَرْذُولٌ-مَرْذُولٌ، ةٌ 
(مفع. مِنْ رَزَّأَ)	مُرَزَّأٌ-مُرَزَّأٌ 
(مفع. مِنْ رَزَقَ)	مَرْزُوقٌ-مَرْزُوقٌ ، ة
(مفع. مِنْ رَسَمَ)	مَرْسُومٌ-مَرْسُومٌ ، ة
(مفع. مِنْ رَشَّحَ)	مُرَشَّحٌ-مُرَشَّحٌ، ةٌ 
(مفع. مِنْ رَصَّ)	مَرْصُوصٌ-مَرْصُوصٌ، ةٌ 
(مفع. مِنْ رَصَدَ)	مَرْصُودٌ-مَرْصُودٌ ، ة
(مفع. مِنْ رَصَّعَ)	مُرَصَّعٌ-مُرَصَّعٌ، ةٌ 
(مفع. مِنْ رَصَفَ)	مَرْصُوفٌ-مَرْصُوفٌ، ةٌ 
(مفع. مِنْ رَطَّبَ)	مُرَطَّبٌ-مُرَطَّبٌ، ةٌ 
(مفع. مِنْ رَعَبَ)	مَرْعُوبٌ-مَرْعُوبٌ، ةٌ 
(مفع. مِن رَعْبَلَ)	مُرَعْبَلٌ-مُرَعْبَلٌ، ةٌ 
(مفع. مِنْ رَعَى)	مَرْعِيٌّ-مَرْعِيٌّ، ة 
(مفع. مِنْ رَغِبَ)	مَرْغُوبٌ-مَرْغُوبٌ، ةٌ 
(مفع. مِنْ رَفَعَ)	مَرْفُوعٌ-مَرْفُوعٌ، ةٌ 
(مفع. مِنْ رَقَّعَ)	مُرَقَّعٌ-مُرَقَّعٌ، ةٌ 
(مفع. مِنْ رَقَّقَ)	مُرَقَّقٌ-مُرَقَّقٌ، ةٌ 
(مفع. مِنْ رَقَمَ)	مَرْقُومٌ-مَرْقُومٌ، ةٌ 
(مفع. مِنْ رَقَّمَ)	مُرَقَّمٌ-مُرَقَّمٌ، ةٌ 
(مفع. مِنْ رَكِبَ)	مُرَكَّبٌ-مُرَكَّبٌ ، ة
(مفع. مِنْ رَكِبَ)	مَرْكُوبٌ-مَرْكُوبٌ ، ة
(مفع. مِنْ رَكَّزَ)	مُرَكَّزٌ-مُرَكَّزٌ، ةٌ 
(مفع. مِنْ رَمَزَ)	مَرْمُوزٌ-مَرْمُوزٌ، ةٌ 
(مفع. مِنْ رَمَّشَ)	مُرَمَّشٌ-مُرَمَّشٌ ، ة
(مفع. مِنْ رَمَقَ)	مَرْمُوقٌ-مَرْمُوقٌ، ةٌ 
(مفع. مِنْ رَمَّمَ)	مُرَمَّمٌ-مُرَمَّمٌ، ةٌ 
(مفع. مِنْ رَهِبَ)	مَرْهُوبٌ-مَرْهُوبٌ ، ة
(مفع. مِنْ رَهَنَ)	مَرْهُونٌ-مَرْهُونٌ، ةٌ 
(مفع. مِنْ رَوَّحَ)	مُرَوَّحٌ-مُرَوَّحٌ ، ة
(مفع. مِنْ رَوَّعَ)	مُرَوَّعٌ-مُرَوَّعٌ، ةٌ 
(مفع. مِنْ زَخْرَفَ)	مُزَخْرَفٌ-مُزَخْرَفٌ، ةٌ 
(مفع. مِنْ زَرَعَ)	مَزْرُوعٌ-مَزْرُوعٌ، ةٌ 
(مفع. مِنْ زَرْكَشَ)	مُزَرْكَشٌ-مُزَرْكَشٌ، ةٌ 
(مفع. مِنْ زَعَمَ)	مَزْعُومٌ-مَزْعُومٌ ، ة
(مفع. مِنْ زَفَّتَ)	مُزَفَّتٌ-مُزَفَّتٌ ، ة
(مفع. مِنْ زَكَمَ)	مَزْكُومٌ-مَزْكُومٌ، ةٌ 
(مفع. مِنْ زَمَّ)	مَزْمُومٌ-مَزْمُومٌ، ةٌ 
(مفع. مِنْ زَمَّلَ)	مُزَّمَّلٌ-مُزَّمَّلٌ ، ة
(مفع. مِنْ زَوَّدَ)	مُزَوَّدٌ-مُزَوَّدٌ ، ة
(مفع. مِنْ زَوَّرَ)	مُزَوَّرٌ-مُزَوَّرٌ، ةٌ 
(مفع. مِنْ زَوَّقَ)	مُزَوَّقٌ-مُزَوَّقٌ، ةٌ 
(مفع. مِنْ زَيَّتَ)	مُزَيَّتٌ-مُزَيَّتٌ، ةٌ 
(مفع. مِنْ زَيَّفَ)	مُزَيَّفٌ-مُزَيَّفٌ، ةٌ 
(مفع. مِنْ زَيَّنَ)	مُزَيَّنٌ-مُزَيَّنٌ، ةٌ 
(مفع. مِنْ سَأَلَ)	مَسْؤُولٌ-مَسْؤُولٌ، ةٌ 
(مفع. مِن سَادَ)	مَسُودٌ-مَسُودٌ، ةٌ 
(مفع. مِنْ سَبَتَ)	مَسْبُوتٌ-مَسْبُوتٌ ، ة
(مفع. مِنْ سَبَّحَ)	مُسَبَّحٌ-مُسَبَّحٌ ، ة
(مفع. مِنْ سَبَّعَ)	مُسَبَّعٌ-مُسَبَّعٌ ، ة
(مفع. مِنْ سَبَّقَ)	مُسَبَّقٌ-مُسَبَّقٌ، ةٌ 
(مفع. من سَتَّرَ)	مُسَتَّرَةٌ-مُسَتَّرَةٌ ، ة
