"90"	"دُولار"	"دولار"	"noun"	"1009395"	"َ"
"91"	"حَيْث"	"حيث"	"adv_rel"	"1006501"	"َ"
"92"	"سَلام"	"سلام"	"noun"	"996144"	"َ"
"93"	"أَوَّل"	"أول"	"adj_num"	"985545"	"َ"
"94"	"اِتِّحاد"	"اتحاد"	"noun"	"983816"	"َ"
"95"	"مَسْؤُول"	"مسؤول"	"noun"	"978256"	"َ"
"96"	"لَيْس"	"ليس"	"verb"	"976757"	"َ"
"97"	"عَلاقَة"	"علاقة"	"noun"	"971808"	"َ"
"98"	"حَوْل"	"حول"	"noun"	"971342"	"َ"
"99"	"شَعْب"	"شعب"	"noun"	"969643"	"َ"
"100"	"قام"	"قام"	"verb"	"953948"	"َ"
"101"	"ذَكَر"	"ذكر"	"verb"	"947361"	"َ"
"102"	"وَقْت"	"وقت"	"noun"	"946101"	"َ"
"103"	"مَشْرُوع"	"مشروع"	"noun"	"946071"	"َ"
"104"	"جَيْش"	"جيش"	"noun"	"939805"	"َ"
"105"	"أَمْكَن"	"أمكن"	"verb"	"935577"	"َ"
"106"	"إِن"	"إن"	"conj_sub"	"931537"	"َ"
"107"	"مَصْدَر"	"مصدر"	"noun"	"929830"	"َ"
"108"	"وَضْع"	"وضع"	"noun"	"927954"	"َ"
"109"	"آخَر"	"آخر"	"adj"	"924007"	"َ"
"110"	"لَجْنَة"	"لجنة"	"noun"	"923598"	"َ"
"111"	"حَرَكَة"	"حركة"	"noun"	"915099"	"َ"
"112"	"شَأْن"	"شأن"	"noun"	"913227"	"َ"
"113"	"قَضِيَّة"	"قضية"	"noun"	"913066"	"َ"
"114"	"دَوْر"	"دور"	"noun"	"894355"	"َ"
"115"	"خاصّ"	"خاص"	"adj"	"892143"	"َ"
"116"	"دُون"	"دون"	"noun"	"885916"	"َ"
"117"	"كَما"	"كما"	"conj"	"878581"	"َ"
"118"	"اِعْتَبَر"	"اعتبر"	"verb"	"865795"	"َ"
"119"	"اِتِّفاق"	"اتفاق"	"noun"	"857034"	"َ"
"120"	"مُحَمَّد"	"محمد"	"noun_prop"	"856139"	"َ"
"121"	"اِسْم"	"اسم"	"noun"	"837631"	"َ"
"122"	"نِسْبَة"	"نسبة"	"noun"	"833695"	"َ"
"123"	"جانِب"	"جانب"	"noun"	"832730"	"َ"
"124"	"وِزارَة"	"وزارة"	"noun"	"830548"	"َ"
"125"	"سَبَب"	"سبب"	"noun"	"825415"	"َ"
"126"	"جَنُوب"	"جنوب"	"noun"	"818247"	"َ"
"127"	"قانُون"	"قانون"	"noun"	"814046"	"َ"
"128"	"مُؤْتَمَر"	"مؤتمر"	"noun"	"801618"	"َ"
"129"	"مَجْمُوعَة"	"مجموعة"	"noun"	"801350"	"َ"
"130"	"مَوْقِف"	"موقف"	"noun"	"790468"	"َ"
"131"	"فَرَنْسِيّ"	"فرنسي"	"adj"	"790342"	"َ"
"132"	"جَمِيع"	"جميع"	"noun_quant"	"789238"	"َ"
"133"	"نَحْو"	"نحو"	"noun"	"788684"	"َ"
"134"	"أَكَّد"	"أكد"	"verb"	"785558"	"َ"
"135"	"ما"	"ما"	"conj_sub"	"783117"	"َ"
"136"	"تَحْقِيق"	"تحقيق"	"noun"	"781184"	"َ"
"137"	"لَدَى"	"لدى"	"noun"	"777993"	"َ"
"138"	"اِقْتِصادِيّ"	"اقتصادي"	"adj"	"771238"	"َ"
"139"	"نِظام"	"نظام"	"noun"	"769365"	"َ"
"140"	"ضِدّ"	"ضد"	"noun"	"764957"	"َ"
"141"	"شَرْق"	"شرق"	"noun"	"764574"	"َ"
"142"	"كَثِير"	"كثير"	"adj"	"762415"	"َ"
"143"	"مِصْرِيّ"	"مصري"	"adj"	"760759"	"َ"
"144"	"اِجْتِماع"	"اجتماع"	"noun"	"759155"	"َ"
"145"	"طَرِيق"	"طريق"	"noun"	"758419"	"َ"
"146"	"نَتِيجَة"	"نتيجة"	"noun"	"753448"	"َ"
"147"	"حَتَّى"	"حتى"	"prep"	"752879"	"َ"
"148"	"مِثْل"	"مثل"	"noun"	"750432"	"َ"
"149"	"عَبْد"	"عبد"	"noun_prop"	"749790"	"َ"
"150"	"قِطاع"	"قطاع"	"noun"	"748931"	"َ"
"151"	"عَدَم"	"عدم"	"noun"	"747178"	"َ"
"152"	"عَنَى"	"عنى"	"verb"	"743394"	"َ"
"153"	"وِكالَة"	"وكالة"	"noun"	"742499"	"َ"
"154"	"نُقْطَة"	"نقطة"	"noun"	"741376"	"َ"
"155"	"هَدَف"	"هدف"	"noun"	"736934"	"َ"
"156"	"بَدَأ"	"بدأ"	"verb"	"735968"	"َ"
"157"	"مُقْبِل"	"مقبل"	"adj"	"723456"	"َ"
"158"	"حالِيّ"	"حالي"	"adj"	"707034"	"َ"
"159"	"دَعا"	"دعا"	"verb"	"702354"	"َ"
"160"	"عاد"	"عاد"	"verb"	"701159"	"َ"
"161"	"صَحِيفَة"	"صحيفة"	"noun"	"698897"	"َ"
"162"	"مَرْكَز"	"مركز"	"noun"	"695032"	"َ"
"163"	"بَيان"	"بيان"	"noun"	"694644"	"َ"
"164"	"شَهْر"	"شهر"	"noun"	"693390"	"َ"
"165"	"مُباراة"	"مباراة"	"noun"	"689891"	"َ"
"166"	"مُنَظَّمَة"	"منظمة"	"noun"	"687696"	"َ"
"167"	"لا"	"لا"	"verb_pseudo"	"681730"	"َ"
"168"	"مِصْر"	"مصر"	"noun_prop"	"678647"	"َ"
"169"	"رَأَى"	"رأى"	"verb"	"677034"	"َ"
"170"	"لَن"	"لن"	"part_neg"	"670981"	"َ"
"171"	"أَيّ"	"أي"	"noun_quant"	"669015"	"َ"
"172"	"رَجُل"	"رجل"	"noun"	"664719"	"َ"
